date,time,min price,num tickets left
10/9/21,10:18,169,67
10/9/21,10:25,169,67
10/9/21,10:32,169,67
10/9/21,10:39,169,67
10/9/21,10:46,169,67
10/9/21,10:53,169,67
10/9/21,12:41,169,67
10/9/21,12:48,169,67
10/9/21,12:55,169,67
10/9/21,13:02,150,58
10/9/21,13:09,150,58
10/9/21,13:16,150,49
10/9/21,13:23,150,50
10/9/21,13:30,150,48
10/9/21,13:37,150,48
10/9/21,13:44,150,48
10/9/21,13:51,150,46
10/9/21,13:58,150,42
10/9/21,14:05,169,40
10/9/21,14:12,169,40
10/9/21,14:19,169,40
10/9/21,14:26,169,40
10/9/21,14:33,169,40
10/9/21,14:40,169,40
10/9/21,14:48,169,40
10/9/21,14:55,169,40
10/9/21,15:02,169,40
10/9/21,15:09,169,40
10/9/21,15:16,169,39
10/9/21,15:23,169,39
10/9/21,15:30,169,39
10/9/21,15:37,169,40
10/9/21,15:44,160,40
10/9/21,15:51,159,40
10/9/21,15:58,159,40
10/9/21,16:12,157,37
10/9/21,16:19,157,35
10/9/21,16:26,157.5,33
10/9/21,16:33,157.5,33
10/9/21,16:40,157.5,33
10/9/21,16:47,157.5,33
10/9/21,16:54,157.5,33
10/9/21,17:15,157.5,34
10/9/21,17:22,157.5,34
10/9/21,17:29,157.5,34
10/9/21,17:36,157.5,34
10/9/21,17:43,157.5,33
10/9/21,17:50,206,32
10/9/21,17:57,206,32
10/9/21,18:32,150,32
10/9/21,18:39,150,32
10/9/21,18:46,150,32
10/9/21,18:53,150,32
